t_s,T_in_C,RH_in_pct,T_out_C,RH_out_pct,M1_open,M2_open,M3_open
58560,27.71,58.9,26.09,58.2,0,1,0
58620,27.62,59.1,26.02,58.3,0,1,0
58680,27.54,59.4,25.94,58.5,0,1,0
58740,27.45,59.6,25.87,58.7,0,1,0
58800,27.37,59.8,25.80,58.9,0,1,0
58860,27.28,60.0,25.72,59.0,0,1,0
58920,27.20,60.3,25.65,59.2,0,1,0
58980,27.12,60.5,25.58,59.4,0,1,0
59040,27.03,60.7,25.50,59.5,0,1,0
59100,26.95,60.9,25.43,59.7,0,1,0
59160,26.86,61.2,25.36,59.9,0,1,0
59220,26.78,61.4,25.28,60.1,0,1,0
59280,26.69,61.6,25.21,60.2,0,1,0
59340,26.61,61.8,25.14,60.4,0,1,0
59400,26.56,62.0,25.10,60.5,0,1,0
59460,26.54,62.0,25.09,60.4,0,1,0
59520,26.52,62.0,25.08,60.4,0,1,0
59580,26.51,62.0,25.08,60.4,0,1,0
59640,26.49,62.0,25.07,60.3,0,1,0
59700,26.47,62.0,25.06,60.3,0,1,0
59760,26.45,62.0,25.06,60.3,0,1,0
59820,26.44,62.1,25.05,60.2,0,1,0
59880,26.42,62.1,25.04,60.2,0,1,0
59940,26.40,62.1,25.04,60.2,0,1,0
60000,26.38,62.1,25.03,60.1,0,1,0
60060,26.37,62.1,25.02,60.1,0,1,0
60120,26.35,62.1,25.02,60.1,0,1,0
60180,26.33,62.1,25.01,60.0,0,1,0
60240,26.31,62.1,25.00,60.0,0,1,0
60300,26.30,62.2,25.00,60.0,0,1,0
60360,26.28,62.2,24.99,59.9,0,1,0
60420,26.26,62.2,24.98,59.9,0,1,0
60480,26.24,62.2,24.98,59.9,0,1,0
60540,26.23,62.2,24.97,59.8,0,1,0
60600,26.21,62.2,24.96,59.8,0,1,0
60660,26.19,62.2,24.96,59.8,0,1,0
60720,26.17,62.3,24.95,59.7,0,1,0
60780,26.16,62.3,24.94,59.7,0,1,0
60840,26.14,62.3,24.94,59.7,0,1,0
60900,26.12,62.3,24.93,59.6,0,1,0
60960,26.10,62.3,24.92,59.6,0,1,0
61020,26.09,62.3,24.92,59.6,0,1,0
61080,26.07,62.3,24.91,59.5,0,1,0
61140,26.05,62.3,24.90,59.5,0,1,0
61200,26.01,62.4,24.87,59.6,0,1,0
61260,25.95,62.6,24.82,59.7,0,1,0
61320,25.88,62.8,24.77,59.8,0,1,0
61380,25.82,63.0,24.71,59.9,0,1,0
61440,25.75,63.1,24.66,60.1,0,1,0
61500,25.69,63.3,24.61,60.2,0,1,0
61560,25.63,63.5,24.55,60.3,0,1,0
61620,25.56,63.7,24.50,60.4,0,1,0
61680,25.50,63.9,24.45,60.6,0,1,0
61740,25.43,64.0,24.39,60.7,0,1,0
61800,25.37,64.2,24.34,60.8,0,1,0
61860,25.31,64.4,24.29,60.9,0,1,0
61920,25.24,64.6,24.23,61.0,0,1,0
61980,25.18,64.8,24.18,61.2,0,1,0
62040,25.12,64.9,24.13,61.3,0,1,0
62100,25.05,65.1,24.07,61.4,0,1,0
62160,24.99,65.3,24.02,61.5,0,1,0
62220,24.93,65.5,23.97,61.7,0,1,0
62280,24.86,65.7,23.91,61.8,0,1,0
62340,24.80,65.8,23.86,61.9,0,1,0
62400,24.73,66.0,23.81,62.0,0,1,0
62460,24.67,66.2,23.75,62.2,0,1,0
62520,24.61,66.4,23.70,62.3,0,1,0
62580,24.54,66.6,23.65,62.4,0,1,0
