t_s,T_in_C,RH_in_pct,T_out_C,RH_out_pct,M1_open,M2_open,M3_open
27840,27.92,57.2,27.70,54.7,1,1,0
27900,27.94,57.1,27.72,54.7,1,1,0
27960,27.97,57.0,27.74,54.6,1,1,0
28020,27.99,56.9,27.76,54.5,1,1,0
28080,28.02,56.8,27.78,54.4,1,1,0
28140,28.04,56.7,27.80,54.3,1,1,0
28200,28.06,56.6,27.82,54.2,1,1,0
28260,28.09,56.5,27.84,54.2,1,1,0
28320,28.11,56.4,27.86,54.1,1,1,0
28380,28.14,56.3,27.88,54.0,1,1,0
28440,28.16,56.2,27.90,53.9,1,1,0
28500,28.18,56.1,27.92,53.8,1,1,0
28560,28.21,56.0,27.94,53.7,1,1,0
28620,28.23,55.9,27.96,53.7,1,1,0
28680,28.26,55.8,27.98,53.6,1,1,0
28740,28.28,55.7,28.01,53.5,1,1,0
28800,28.33,55.4,28.05,53.3,1,1,0
28860,28.37,55.2,28.09,53.0,1,1,0
28920,28.42,55.0,28.13,52.8,1,1,0
28980,28.46,54.7,28.17,52.6,1,1,0
29040,28.51,54.5,28.21,52.4,1,1,0
29100,28.55,54.3,28.25,52.2,1,1,0
29160,28.60,54.0,28.29,52.0,1,1,0
29220,28.64,53.8,28.33,51.8,1,1,0
29280,28.69,53.6,28.37,51.6,1,1,0
29340,28.73,53.3,28.41,51.3,1,1,0
29400,28.77,53.1,28.45,51.1,1,1,0
29460,28.82,52.9,28.49,50.9,1,1,0
29520,28.86,52.7,28.53,50.7,1,1,0
29580,28.91,52.4,28.57,50.5,1,1,0
29640,28.95,52.2,28.61,50.3,1,1,0
29700,29.00,52.0,28.65,50.1,1,1,0
29760,29.04,51.7,28.69,49.8,1,1,0
29820,29.09,51.5,28.73,49.6,1,1,0
29880,29.13,51.3,28.77,49.4,1,1,0
29940,29.18,51.0,28.81,49.2,1,1,0
30000,29.22,50.8,28.85,49.0,1,1,0
30060,29.27,50.6,28.89,48.8,1,1,0
30120,29.31,50.4,28.93,48.6,1,1,0
30180,29.36,50.1,28.97,48.3,1,1,0
30240,29.40,49.9,29.01,48.1,1,1,0
30300,29.45,49.7,29.05,47.9,1,1,0
30360,29.49,49.4,29.09,47.7,1,1,0
30420,29.54,49.2,29.13,47.5,1,1,0
30480,29.58,49.0,29.17,47.3,1,1,0
30540,29.62,48.8,29.20,47.1,1,1,0
30600,29.63,48.9,29.20,47.2,1,1,0
30660,29.63,48.9,29.20,47.3,1,1,0
30720,29.64,49.0,29.20,47.4,1,1,0
30780,29.64,49.1,29.20,47.4,1,1,0
30840,29.65,49.1,29.20,47.5,1,1,0
30900,29.65,49.2,29.20,47.6,1,1,0
30960,29.66,49.2,29.20,47.7,1,1,0
31020,29.66,49.3,29.20,47.8,1,1,0
31080,29.67,49.4,29.20,47.9,1,1,0
31140,29.67,49.4,29.20,47.9,1,1,0
31200,29.68,49.5,29.20,48.0,1,1,0
31260,29.68,49.6,29.20,48.1,1,1,0
31320,29.69,49.6,29.20,48.2,1,1,0
31380,29.69,49.7,29.20,48.3,1,1,0
31440,29.70,49.8,29.20,48.4,1,1,0
31500,29.70,49.8,29.20,48.4,1,1,0
31560,29.71,49.9,29.20,48.5,1,1,0
31620,29.72,50.0,29.20,48.6,1,1,0
