t_s,T_in_C,RH_in_pct
73260,12.58,89.0
73320,12.56,89.0
73380,12.54,89.1
73440,12.52,89.1
73500,12.50,89.2
73560,12.48,89.2
73620,12.46,89.2
73680,12.44,89.3
73740,12.42,95.3
73800,12.40,95.3
73860,12.37,95.4
73920,12.35,95.5
73980,12.32,95.6
74040,12.29,95.6
74100,12.27,95.7
74160,12.24,95.8
74220,12.21,95.9
74280,12.19,95.9
74340,12.16,96.0
74400,12.13,96.1
74460,12.11,96.1
74520,12.08,90.1
74580,12.05,90.2
74640,12.03,90.2
74700,12.00,90.3
74760,11.97,90.3
74820,11.95,90.4
74880,11.92,90.5
74940,11.89,90.5
